Date,Price,Open,High,Low,Vol.,Change %,EPU,GPRD,Gold
2023-10-10,"27,391.0","27,581.5","27,728.1","27,300.1",34.32K,-0.69%,193.0310287624587,259.08349609375,1861.0
2023-10-09,"27,581.4","27,922.7","27,986.4","27,279.5",44.81K,-1.22%,193.0310287624587,227.07118225097656,1849.5
2023-10-08,"27,922.7","27,961.1","28,097.5","27,714.4",24.11K,-0.14%,193.0310287624587,75.66779327392578,1830.199951171875
2023-10-07,"27,961.1","27,935.5","28,021.3","27,859.0",17.29K,0.09%,193.0310287624587,54.14300537109375,1830.199951171875
2023-10-06,"27,936.9","27,410.3","28,223.6","27,195.7",52.51K,1.92%,193.0310287624587,161.30764770507812,1830.199951171875
2023-10-05,"27,410.3","27,783.5","28,089.1","27,371.7",46.26K,-1.37%,193.0310287624587,54.304386138916016,1816.5999755859375
2023-10-04,"27,790.9","27,428.7","27,832.7","27,242.5",40.93K,1.32%,193.0310287624587,61.24074935913086,1818.5
2023-10-03,"27,428.4","27,501.6","27,670.8","27,194.1",44.06K,-0.28%,193.0310287624587,107.04885864257812,1824.5999755859375
2023-10-02,"27,505.3","27,974.6","28,556.6","27,325.2",84.30K,-1.68%,193.0310287624587,63.45914840698242,1830.0
2023-10-01,"27,974.5","26,962.5","28,038.4","26,955.7",35.11K,3.75%,193.0310287624587,38.97138595581055,1848.0999755859375
2023-09-30,"26,962.7","26,908.1","27,085.7","26,887.5",17.55K,0.20%,204.22276828471064,82.55619812011719,1848.0999755859375
2023-09-29,"26,909.8","27,022.6","27,229.5","26,728.8",42.24K,-0.42%,204.22276828471064,86.41481018066406,1848.0999755859375
2023-09-28,"27,022.6","26,368.2","27,283.6","26,339.4",64.56K,2.49%,204.22276828471064,64.37852478027344,1860.4000244140625
2023-09-27,"26,366.1","26,218.9","26,836.9","26,109.1",50.80K,0.56%,204.22276828471064,101.4660415649414,1871.5999755859375
2023-09-26,"26,218.9","26,303.1","26,396.2","26,093.4",26.41K,-0.32%,204.22276828471064,81.25166320800781,1900.4000244140625
2023-09-25,"26,302.7","26,251.6","26,423.6","26,013.6",38.20K,0.20%,204.22276828471064,109.96076202392578,1916.5999755859375
2023-09-24,"26,251.5","26,579.0","26,727.6","26,162.2",22.32K,-1.23%,204.22276828471064,66.41739654541016,1925.4000244140625
2023-09-23,"26,579.2","26,581.7","26,636.2","26,517.5",12.92K,-0.01%,204.22276828471064,70.02175903320312,1925.4000244140625
2023-09-22,"26,581.9","26,569.5","26,736.4","26,488.5",28.79K,0.04%,204.22276828471064,131.62521362304688,1925.4000244140625
2023-09-21,"26,570.0","27,125.2","27,155.6","26,382.3",47.81K,-2.05%,204.22276828471064,162.9131622314453,1919.199951171875
